Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Min,Flow IAT Max,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Fwd Packet Times,Bwd Packet Times,Fwd IATs,Bwd IATs,Bwd Packet Lengths,act_data_pkt_fwd,Subflow Fwd Bytes,Subflow Bwd Packets,Fwd IAT Min,Fwd IAT Max,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Total,Fwd Packets/s,Bwd IAT Min,Bwd Packet Length Std
192.168.216.32-54553-192.168.216.153-53-17,192.168.216.32,54553,192.168.216.153,53,17,26-04-2025 00:45,14.557567119598389,3,2,276,439,92.0,219.5,49.11534970959662,0.3434639839831931,3.639391779899597,6.123992208417113,0.03940606117248535,14.245903015136719,92,224,143.0,0,"[1745608558.353953, 1745608572.639262, 1745608572.706672]","[1745608558.393359, 1745608572.91152]","[14.285309076309204, 0.06740999221801758]",[14.518161058425903],"[215, 224]",3,276,2,0.06740999221801758,14.285309076309204,7.176359534263611,7.108949542045593,14.352719068527222,0.20607839038991588,14.518161058425903,4.5
192.168.216.32-51735-20.44.10.123-443-6,192.168.216.32,51735,20.44.10.123,443,6,26-04-2025 00:45,2.8026440143585205,14,11,5152,5804,368.0,527.6363636363636,3909.165753435029,8.920148214300449,0.11677683393160503,0.1643668972682746,0.0,0.5731980800628662,54,1354,438.24,0,"[1745608558.394542, 1745608558.66264, 1745608558.663536, 1745608558.937359, 1745608559.284793, 1745608559.287568, 1745608559.290159, 1745608559.290159, 1745608559.863357, 1745608560.116013, 1745608560.1166, 1745608560.1167, 1745608560.733195, 1745608561.197186]","[1745608558.662408, 1745608558.934693, 1745608559.28452, 1745608559.284746, 1745608559.285824, 1745608559.287441, 1745608560.089324, 1745608560.115901, 1745608560.449287, 1745608561.089082, 1745608561.197085]","[0.2680981159210205, 0.0008959770202636719, 0.2738230228424072, 0.34743380546569824, 0.0027751922607421875, 0.0025908946990966797, 0.0, 0.5731980800628662, 0.2526559829711914, 0.0005869865417480469, 9.989738464355469e-05, 0.6164951324462891, 0.4639909267425537]","[0.27228498458862305, 0.3498268127441406, 0.00022602081298828125, 0.0010781288146972656, 0.0016169548034667969, 0.8018829822540283, 0.026576995849609375, 0.3333859443664551, 0.6397950649261475, 0.10800290107727051]","[66, 153, 1334, 1334, 1334, 745, 157, 519, 54, 54, 54]",14,5152,11,0.0,0.6164951324462891,0.21558800110450158,0.22379763537616063,2.8026440143585205,4.995283000008252,0.00022602081298828125,536.1321534383227
50.17.99.22-443-192.168.216.32-51686-6,50.17.99.22,443,192.168.216.32,51686,6,26-04-2025 00:45,40.003357887268066,2,2,139,108,69.5,54.0,6.174481669665363,0.09999160598648361,13.334452629089355,18.85761893849361,0.0,40.00315308570862,54,85,61.75,0,"[1745608559.637715, 1745608559.637715]","[1745608559.63792, 1745608599.641073]",[0.0],[40.00315308570862],"[54, 54]",2,139,2,0.0,0.0,0.0,0.0,0.0,0.04999580299324181,40.00315308570862,0.0
192.168.216.32-51712-13.107.246.48-443-6,192.168.216.32,51712,13.107.246.48,443,6,26-04-2025 00:45,44.9398729801178,4,5,217,345,54.25,69.0,12.505598319083786,0.20026758873977593,5.617484122514725,14.478990679822548,0.0,43.91635203361511,54,93,62.44444444444444,0,"[1745608559.879503, 1745608604.759862, 1745608604.760088, 1745608604.760596]","[1745608560.843329, 1745608604.759681, 1745608604.759681, 1745608604.759982, 1745608604.819376]","[44.880358934402466, 0.00022602081298828125, 0.0005080699920654297]","[43.91635203361511, 0.0, 0.00030112266540527344, 0.059393882751464844]","[66, 93, 78, 54, 54]",4,217,5,0.00022602081298828125,44.880358934402466,14.96036434173584,21.15663106985275,44.88109302520752,0.0890078172176782,0.0,14.939879517586478
192.168.216.32-51307-104.21.64.1-443-6,192.168.216.32,51307,104.21.64.1,443,6,26-04-2025 00:46,46.248623847961426,2,2,110,132,55.0,66.0,5.232588126201446,0.086489059937214,15.416207949320475,20.924440520267805,0.3021378517150879,45.005537033081055,55,66,60.5,0,"[1745608560.097937, 1745608606.044423]","[1745608561.038886, 1745608606.346561]",[45.94648599624634],[45.30767488479614],"[66, 66]",2,110,2,45.94648599624634,45.94648599624634,45.94648599624634,0.0,45.94648599624634,0.043244529968607,45.30767488479614,0.0
192.168.216.32-5353-224.0.0.251-5353-17,192.168.216.32,5353,224.0.0.251,5353,17,26-04-2025 00:46,0.7841100692749023,6,0,1667,0,277.8333333333333,0.0,2125.9770347567924,7.651986927738905,0.15682201385498046,0.1274017966301985,0.0007090568542480469,0.26569700241088867,93,510,277.8333333333333,0,"[1745608560.269708, 1745608560.270791, 1745608560.535293, 1745608560.80099, 1745608561.053109, 1745608561.053818]",[],"[0.0010831356048583984, 0.26450204849243164, 0.26569700241088867, 0.2521188259124756, 0.0007090568542480469]",[],[],6,1667,0,0.0007090568542480469,0.26569700241088867,0.15682201385498046,0.1274017966301985,0.7841100692749023,7.651986927738905,0.0,0.0
54.166.57.178-443-192.168.216.32-51689-6,54.166.57.178,443,192.168.216.32,51689,6,26-04-2025 00:46,0.4139120578765869,4,3,293,162,73.25,54.0,1099.2673234362842,16.911804975942832,0.06898534297943115,0.15289234042257724,0.0,0.410858154296875,54,100,65.0,0,"[1745608560.484087, 1745608560.484087, 1745608560.486987, 1745608560.897999]","[1745608560.484227, 1745608560.484608, 1745608560.487141]","[0.0, 0.0029001235961914062, 0.4110119342803955]","[0.0003809928894042969, 0.002532958984375]","[54, 54, 54]",4,293,3,0.0,0.4110119342803955,0.1379706859588623,0.19307294846413908,0.4139120578765869,9.663888557681618,0.0003809928894042969,0.0
192.168.216.32-51511-54.192.142.4-443-6,192.168.216.32,51511,54.192.142.4,443,6,26-04-2025 00:46,60.03519105911255,5,5,272,333,54.4,66.6,10.0774227470068,0.16656897102490578,6.670576784345839,14.25083210476191,0.00028204917907714844,45.002832889556885,54,93,60.5,0,"[1745608560.569296, 1745608605.930389, 1745608620.247658, 1745608620.250329, 1745608620.560372]","[1745608560.927556, 1745608606.008069, 1745608620.247376, 1745608620.249984, 1745608620.604487]","[45.361093044281006, 14.317269086837769, 0.0026710033416748047, 0.3100430965423584]","[45.08051300048828, 14.239306926727295, 0.002608060836791992, 0.35450291633605957]","[66, 66, 93, 54, 54]",5,272,5,0.0026710033416748047,45.361093044281006,14.997769057750702,18.459257726777057,59.99107623100281,0.08328448551245289,0.002608060836791992,14.249210504445502
54.166.57.178-443-192.168.216.32-51692-6,54.166.57.178,443,192.168.216.32,51692,6,26-04-2025 00:46,58.95128583908081,5,6,347,325,69.4,54.166666666666664,11.399242449678821,0.18659474247986169,5.895128583908081,13.623211204467136,0.0,45.00277090072632,54,100,61.09090909090909,0,"[1745608560.584202, 1745608560.584202, 1745608560.590086, 1745608605.910333, 1745608619.535421]","[1745608560.584349, 1745608560.590224, 1745608605.592995, 1745608619.252527, 1745608619.252618, 1745608619.535488]","[0.0, 0.005883932113647461, 45.32024693489075, 13.625087976455688]","[0.005875110626220703, 45.00277090072632, 13.659532070159912, 9.107589721679688e-05, 0.282869815826416]","[54, 54, 55, 54, 54, 54]",5,347,6,0.0,45.32024693489075,14.73780471086502,18.511863010269305,58.95121884346008,0.08481579203630076,9.107589721679688e-05,0.372677996249965
192.168.216.32-51720-13.107.246.48-443-6,192.168.216.32,51720,13.107.246.48,443,6,26-04-2025 00:46,45.19208884239197,5,6,271,399,54.2,66.5,14.825603709902285,0.24340543404317183,4.519208884239196,13.39844885969175,0.0,44.713951110839844,54,93,60.90909090909091,0,"[1745608562.973905, 1745608607.815529, 1745608607.81599, 1745608607.816779, 1745608608.115269]","[1745608563.101405, 1745608607.815356, 1745608607.815356, 1745608607.816675, 1745608607.876565, 1745608608.165994]","[44.84162402153015, 0.0004608631134033203, 0.0007889270782470703, 0.298490047454834]","[44.713951110839844, 0.0, 0.0013189315795898438, 0.059890031814575195, 0.2894289493560791]","[66, 93, 78, 54, 54, 54]",5,271,6,0.0004608631134033203,44.84162402153015,11.285340964794159,19.374110684524695,45.141363859176636,0.1106388336559872,0.0,14.739402972983676
